topic,batch,topicsperbatch,keywords,vol,group,totaltopic,totalvol,extract
92,10,10,action|real|#notinthet|address|invest|polici|creat|plan|effect|time,497,78,4,1901,14
93,10,10,mention|energi|#qanda|clean|bill|renew|job|now|big|ignor,673,81,2,1076,0
94,10,10,elect|women|labor|fair|belief|fight|stand|afford|pledg|left,269,94,2,750,0
95,10,10,need|control|govern|ref|next|campaign|peopl|biggest|econom|act,425,95,2,1037,0
96,10,10,tackl|great|oper|barrier|govern|feat|fix|agenc|head|smirk,291,96,1,291,0
97,10,10,new|minist|lnp|world|believ|govt|impact|pacif|sold|deni,624,97,4,3292,5
98,10,10,first|island|one|wildfir|rise|day|pai|move|claim|good,798,98,1,798,0
99,10,10,coal|link|definit|greg|mine|arg|adani|environ|#adani|smoke,579,99,1,579,0
100,10,10,talk|fire|#greatbarrierreef|reef|warn|canada|iss|made|coral|mcm,459,100,1,459,0
101,11,10,coal|power|now|station|#climateact|chang|emiss|red|happen|link,489,101,1,489,0
102,11,10,island|rise|five|sea|pacif|real|lost|make|hit|solomon,515,102,2,1277,0
103,11,10,impact|scienc|time|one|first|carbon|csiro|tackl|great|read,655,3,2,1282,0
104,11,10,peopl|need|ignor|temperat|act|increas|spiral|destroy|amaz|amp,612,95,2,1037,0
105,11,10,#qanda|vote|polici|major|winner|poll|care|lnp|politician|feder,577,73,2,1015,0
106,11,10,action|peac|klein|naomi|prize|sydney|win|lack|criticis|give,413,106,1,413,0
107,11,10,mention|good|recent|fight|malcolm|economi|thrive|left|open|civil,401,107,1,401,0
108,11,10,new|world|govern|iss|scientist|effect|water|kid|point|alp,744,108,2,1331,0
109,11,10,answer|scott|morrison|transcript|research|enorm|nat|meas|decad|millennia,193,109,1,193,0
110,11,10,pass|mileston|back|cape|grim|aptli|dither|close|bipaisanship|break,399,110,1,399,0
111,12,10,elect|greg|save|scientist|great|iss|reef|central|csiro|tim,528,111,2,901,0
112,12,10,new|big|coal|project|loan|reject|bank|environ|temperat|act,362,112,1,362,0
113,12,10,talk|time|make|good|leader|believ|ref|first|fire|#climateact,658,113,2,1451,0
114,12,10,sta|year|barnabi|worri|joyc|face|minist|dep|prime|happen,453,114,2,815,0
115,12,10,carbon|lnp|denier|next|wave|price|polit|proof|irref|electr,342,115,1,342,0
116,12,10,peopl|world|risk|rise|citi|bank|crisi|migrat|affect|win,486,116,2,1154,0
117,12,10,impact|work|bad|tackl|pretti|vote|effect|today|research|day,533,117,1,533,0
